=== 扫描记录 ===
扫描时间,2026-06-16T02:57:10.242401
文件ID,源路径,文件名,大小,修改时间,匹配规则
7a4ff246f6dc,./examples/reviewer_lockseq/source\2024年1月增值税专用发票_A001.pdf,2024年1月增值税专用发票_A001.pdf,65,1781549813.8219843,增值税专用发票
f4778c2c7b5f,./examples/reviewer_lockseq/source\2024年2月增值税普通发票_B002.pdf,2024年2月增值税普通发票_B002.pdf,65,1781549813.824061,增值税普通发票
d7deb114e4e1,./examples/reviewer_lockseq/source\出差报销单_202401.xlsx,出差报销单_202401.xlsx,51,1781549813.8289967,报销单Excel
7b8547188faf,./examples/reviewer_lockseq/source\发票扫描件_出租车发票.png,发票扫描件_出租车发票.png,59,1781549813.8282776,发票图片PNG
696b262576dd,./examples/reviewer_lockseq/source\发票照片_餐厅发票.jpg,发票照片_餐厅发票.jpg,53,1781549813.8261201,发票图片JPG
a01ac1f7a487,./examples/reviewer_lockseq/source\电子发票_20240115_001.pdf,电子发票_20240115_001.pdf,53,1781549813.82509,电子发票PDF
d85300ba3bde,./examples/reviewer_lockseq/source\采购合同_供应商A.docx,采购合同_供应商A.docx,52,1781549813.8305895,合同文档

=== 归档预案 ===
预案ID,创建时间,文件,源路径,目标路径,匹配规则,冲突类型,冲突详情
7ddc664f0e9a,2026-06-16T02:57:16.025251,2024年1月增值税专用发票_A001.pdf,./examples/reviewer_lockseq/source\2024年1月增值税专用发票_A001.pdf,./examples/reviewer_lockseq/dest\vat_special\2024年1月增值税专用发票_A001.pdf,增值税专用发票,target_exists,目标文件已存在: ./examples/reviewer_lockseq/dest\vat_special\2024年1月增值税专用发票_A001.pdf
7ddc664f0e9a,2026-06-16T02:57:16.025251,2024年2月增值税普通发票_B002.pdf,./examples/reviewer_lockseq/source\2024年2月增值税普通发票_B002.pdf,./examples/reviewer_lockseq/dest\vat_normal\2024年2月增值税普通发票_B002.pdf,增值税普通发票,,
7ddc664f0e9a,2026-06-16T02:57:16.025251,出差报销单_202401.xlsx,./examples/reviewer_lockseq/source\出差报销单_202401.xlsx,./examples/reviewer_lockseq/dest\reimbursement\出差报销单_202401.xlsx,报销单Excel,,
7ddc664f0e9a,2026-06-16T02:57:16.025251,发票扫描件_出租车发票.png,./examples/reviewer_lockseq/source\发票扫描件_出租车发票.png,./examples/reviewer_lockseq/dest\images/png\发票扫描件_出租车发票.png,发票图片PNG,,
7ddc664f0e9a,2026-06-16T02:57:16.025251,发票照片_餐厅发票.jpg,./examples/reviewer_lockseq/source\发票照片_餐厅发票.jpg,./examples/reviewer_lockseq/dest\images/jpg\发票照片_餐厅发票.jpg,发票图片JPG,,
7ddc664f0e9a,2026-06-16T02:57:16.025251,电子发票_20240115_001.pdf,./examples/reviewer_lockseq/source\电子发票_20240115_001.pdf,./examples/reviewer_lockseq/dest\electronic\电子发票_20240115_001.pdf,电子发票PDF,,
7ddc664f0e9a,2026-06-16T02:57:16.025251,采购合同_供应商A.docx,./examples/reviewer_lockseq/source\采购合同_供应商A.docx,./examples/reviewer_lockseq/dest\contracts\采购合同_供应商A.docx,合同文档,,
41fc05c26428,2026-06-16T02:57:27.679111,2024年1月增值税专用发票_A001.pdf,./examples/reviewer_lockseq/source\2024年1月增值税专用发票_A001.pdf,./examples/reviewer_lockseq/dest\vat/special\2024年1月增值税专用发票_A001.pdf,增值税专用发票,,
41fc05c26428,2026-06-16T02:57:27.679111,2024年2月增值税普通发票_B002.pdf,./examples/reviewer_lockseq/source\2024年2月增值税普通发票_B002.pdf,./examples/reviewer_lockseq/dest\vat/normal\2024年2月增值税普通发票_B002.pdf,增值税普通发票,,
41fc05c26428,2026-06-16T02:57:27.679111,出差报销单_202401.xlsx,./examples/reviewer_lockseq/source\出差报销单_202401.xlsx,./examples/reviewer_lockseq/dest\reimbursement\出差报销单_202401.xlsx,报销单Excel,,
41fc05c26428,2026-06-16T02:57:27.679111,发票扫描件_出租车发票.png,./examples/reviewer_lockseq/source\发票扫描件_出租车发票.png,./examples/reviewer_lockseq/dest\images\发票扫描件_出租车发票.png,发票图片PNG,,
41fc05c26428,2026-06-16T02:57:27.679111,电子发票_20240115_001.pdf,./examples/reviewer_lockseq/source\电子发票_20240115_001.pdf,./examples/reviewer_lockseq/dest\electronic\电子发票_20240115_001.pdf,电子发票PDF,,
41fc05c26428,2026-06-16T02:57:27.679111,采购合同_供应商A.docx,./examples/reviewer_lockseq/source\采购合同_供应商A.docx,./examples/reviewer_lockseq/dest\contracts\采购合同_供应商A.docx,合同文档,,
8df5ec6ff7ec,2026-06-16T03:24:59.827526,2024年1月增值税专用发票_A001.pdf,./examples/reviewer_lockseq/source\2024年1月增值税专用发票_A001.pdf,./examples/reviewer_lockseq/dest\vat/special\2024年1月增值税专用发票_A001.pdf,增值税专用发票,,
8df5ec6ff7ec,2026-06-16T03:24:59.827526,2024年2月增值税普通发票_B002.pdf,./examples/reviewer_lockseq/source\2024年2月增值税普通发票_B002.pdf,./examples/reviewer_lockseq/dest\vat/normal\2024年2月增值税普通发票_B002.pdf,增值税普通发票,,
8df5ec6ff7ec,2026-06-16T03:24:59.827526,出差报销单_202401.xlsx,./examples/reviewer_lockseq/source\出差报销单_202401.xlsx,./examples/reviewer_lockseq/dest\reimbursement\出差报销单_202401.xlsx,报销单Excel,,
8df5ec6ff7ec,2026-06-16T03:24:59.827526,发票扫描件_出租车发票.png,./examples/reviewer_lockseq/source\发票扫描件_出租车发票.png,./examples/reviewer_lockseq/dest\images\发票扫描件_出租车发票.png,发票图片PNG,,
8df5ec6ff7ec,2026-06-16T03:24:59.827526,电子发票_20240115_001.pdf,./examples/reviewer_lockseq/source\电子发票_20240115_001.pdf,./examples/reviewer_lockseq/dest\electronic\电子发票_20240115_001.pdf,电子发票PDF,,
8df5ec6ff7ec,2026-06-16T03:24:59.827526,采购合同_供应商A.docx,./examples/reviewer_lockseq/source\采购合同_供应商A.docx,./examples/reviewer_lockseq/dest\contracts\采购合同_供应商A.docx,合同文档,,

=== 执行记录 ===
执行ID,预案ID,是否预演,撤销状态,创建时间,完成时间,文件,源->目标,状态,执行时间,错误信息
7525784c40e0,7ddc664f0e9a,否,已撤销,2026-06-16T02:57:40.032662,2026-06-16T02:57:40.053038,2024年1月增值税专用发票_A001.pdf,./examples/reviewer_lockseq/source\2024年1月增值税专用发票_A001.pdf -> ./examples/reviewer_lockseq/dest\vat_special\2024年1月增值税专用发票_A001.pdf,skipped_conflict,2026-06-16T02:57:40.034832,目标文件已存在: ./examples/reviewer_lockseq/dest\vat_special\2024年1月增值税专用发票_A001.pdf
